K-means + CTC ASR Training Report
Start Time: Wed Jul 16 02:34:00 2025
Device: cuda
Batch Size: 32
Learning Rate: 1e-05
Epochs: 50
Vocab Size: 4232

Epoch	Train Loss	Val Loss	Val CER	Time
1	32.3251	20.7514	0.8126	4561.2s
2	18.2025	15.2719	0.7202	5656.2s
3	15.4416	13.8052	0.6789	5822.6s
4	14.3798	13.0034	0.6497	5916.4s
5	13.7137	12.5136	0.6225	5931.0s
6	13.2330	12.1253	0.6074	5996.3s
7	12.8890	11.8250	0.5882	6039.6s
8	12.6042	11.5985	0.5803	6009.4s
9	12.3504	11.3881	0.5700	5925.7s
10	12.1554	11.2585	0.5582	6067.2s
11	11.9822	11.0632	0.5554	6079.3s
12	11.8273	10.9787	0.5426	6221.9s
13	11.6872	10.8620	0.5460	5986.4s
14	11.5568	10.7667	0.5364	6065.7s
15	11.4427	10.6710	0.5341	5967.7s
16	11.3287	10.5936	0.5347	5949.7s
17	11.2198	10.5062	0.5197	5993.4s
18	11.1221	10.4187	0.5207	5957.0s
19	11.0348	10.3749	0.5135	6087.6s
20	10.9378	10.3388	0.5056	6210.7s
21	10.8616	10.2510	0.5029	6247.9s
22	10.7878	10.1850	0.5029	6226.3s
23	10.6948	10.1513	0.5048	6198.7s
24	10.6353	10.0720	0.4956	6264.5s
25	10.5751	10.0377	0.4954	6196.8s
26	10.4937	10.0374	0.4957	6074.3s
27	10.4305	9.9604	0.4893	6223.4s
28	10.3752	9.9387	0.4867	6287.5s
29	10.3156	9.8851	0.4885	6293.4s
30	10.2601	9.8585	0.4834	5350.8s
31	10.2059	9.8668	0.4824	5386.5s
32	10.1476	9.7919	0.4796	5391.4s
33	10.0912	9.7928	0.4777	5354.9s
34	10.0367	9.7412	0.4764	5986.8s
35	9.9869	9.7357	0.4844	6118.7s
36	9.9389	9.7075	0.4773	5187.1s
37	9.8799	9.6644	0.4751	6098.2s
38	9.8290	9.6403	0.4729	6259.9s
39	9.8051	9.6148	0.4741	6228.0s
40	9.7449	9.6014	0.4656	6225.9s
41	9.6996	9.5872	0.4684	6118.3s
42	9.6615	9.5359	0.4665	6158.4s
43	9.6170	9.5428	0.4655	6270.8s
44	9.5775	9.5374	0.4646	6264.3s
45	9.5323	9.5026	0.4646	6230.6s
46	9.4923	9.4753	0.4635	5410.9s
47	9.4542	9.4464	0.4601	5429.9s
48	9.3985	9.4405	0.4584	5491.3s
49	9.3799	9.4323	0.4592	6331.5s
50	9.3326	9.4290	0.4588	6231.0s

Total Training Time: 304296.3 seconds
