VQVAE ASR Training Report
Start Time: Sat Jul 19 08:34:00 2025
Device: cuda
Batch Size: 32
Learning Rate: 0.0001
Epochs: 50
Vocab Size: 4234

Epoch	Train Loss	Val Loss	Val CER	Time
1	0.4770	1.6422	0.9355	1129.6s
2	0.3248	1.0374	0.8295	988.4s
3	0.2581	0.8054	0.7484	1010.9s
4	0.2317	0.6659	0.6790	993.5s
5	0.2126	0.5914	0.6311	1415.4s
6	0.1977	0.5703	0.5933	1455.1s
7	0.1844	0.5074	0.5466	1031.4s
8	0.1707	0.4706	0.5115	1030.7s
9	0.1601	0.4367	0.5060	1031.3s
10	0.1528	0.4441	0.4751	1148.1s
11	0.1467	0.4204	0.4643	1703.5s
12	0.1412	0.4300	0.4587	1020.8s
13	0.1371	0.4261	0.4533	1016.3s
14	0.1335	0.4113	0.4452	1010.6s
15	0.1320	0.4230	0.4259	1007.9s
16	0.1314	0.4220	0.4207	1020.5s
17	0.1300	0.4052	0.4165	998.6s
18	0.1297	0.3969	0.4102	979.7s
19	0.1232	0.4077	0.4016	1000.6s
20	0.1178	0.4124	0.4021	983.2s
21	0.1135	0.4065	0.3883	980.7s
22	0.0844	0.3859	0.3854	985.1s
23	0.0730	0.3835	0.3891	972.4s
24	0.0692	0.3903	0.3743	978.6s
25	0.0677	0.3940	0.3732	989.6s
26	0.0649	0.3880	0.3763	974.7s
27	0.0564	0.3789	0.3788	967.4s
28	0.0519	0.3816	0.3772	962.5s
29	0.0497	0.3773	0.3750	968.8s
30	0.0484	0.3765	0.3758	962.4s
31	0.0473	0.3896	0.3712	966.2s
32	0.0486	0.3882	0.3754	964.2s
33	0.0494	0.3799	0.3764	965.8s
34	0.0480	0.3775	0.3733	962.2s
35	0.0472	0.3849	0.3664	961.2s
36	0.0477	0.3836	0.3699	959.6s
37	0.0477	0.3821	0.3697	960.2s
38	0.0490	0.3889	0.3711	962.8s
39	0.0506	0.3914	0.3657	962.5s
40	0.0521	0.3867	0.3774	962.2s
41	0.0539	0.3910	0.3762	959.5s
42	0.0564	0.3929	0.3725	957.2s
43	0.0597	0.3957	0.3787	956.6s
44	0.0639	0.3979	0.3804	958.4s
45	0.0677	0.3984	0.3861	962.3s
46	0.0721	0.4021	0.3842	957.9s
47	0.0762	0.4044	0.3862	957.2s
48	0.0839	0.4086	0.3889	962.6s
49  0.0861  0.4109  0.3929  959.1s
50	0.0913	0.4141	0.3968	958.9s

Total Training Time: 50934.9 seconds

Test Results:
CER: 0.4088
