VQVAE ASR Training Report
Start Time: Thu Jul 17 11:48:49 2025
Device: cuda
Batch Size: 32
Learning Rate: 0.0001
Epochs: 50
Vocab Size: 4234

Epoch	Train Loss	Val Loss	Val CER	Time
1	0.5953	2.6292	1.0721	1226.1s
2	0.5863	2.2195	1.0476	959.1s
3	0.6051	1.9808	0.9978	952.1s
4	0.6312	1.8126	0.9633	953.8s
5	0.6555	1.6869	0.9423	1035.5s
6	0.6794	1.5936	0.9284	1643.0s
7	0.7007	1.5108	0.9175	1029.3s
8	0.7208	1.4294	0.9149	981.4s
9	0.7380	1.3437	0.8937	973.1s
10	0.7536	1.3342	0.9477	991.4s
11	0.7670	1.2621	0.9112	1352.2s
12	0.7843	1.2380	0.8853	1416.1s
13	0.7996	1.2134	0.9072	996.6s
14	0.8079	1.1461	0.8625	964.5s
15	0.8163	1.1286	0.8749	979.9s
16	0.8260	1.0749	0.8634	970.7s
17	0.8356	1.0628	0.8502	1641.5s
18	0.8417	1.0285	0.8235	1071.5s
19	0.8117	1.0153	0.8512	980.6s
20	0.7845	1.0038	0.8509	977.1s
21	0.7571	0.9680	0.8082	959.4s
22	0.7317	0.9696	0.7997	1172.0s
23	0.7084	0.9427	0.8236	1541.1s
24	0.6853	0.9012	0.7852	937.2s
25	0.6647	0.8685	0.7742	934.2s
26	0.6423	0.8648	0.7780	940.5s
27	0.6231	0.8465	0.7588	931.9s
28	0.6075	0.8470	0.7612	1338.9s
29	0.5880	0.8470	0.7600	1338.1s
30	0.5717	0.8041	0.7617	928.6s
31	0.5551	0.7837	0.7437	923.3s
32	0.5591	0.7803	0.7377	931.3s
33    0.3977	0.5703	0.5933	1455.1s
34	0.3344	0.4914	0.5466	1031.4s
35	0.3233	0.4706	0.5235	988.7s
36	0.2501	0.4067	0.4980	1000.3s
37	0.2138	0.4261	0.4751	1103.1s
38	0.1867	0.4204	0.4599	967.5s
39	0.1612	0.4129	0.4587	1020.8s
40	0.1598	0.4261	0.4489	1016.3s
41	0.1335	0.4113	0.4452	999.6s
42	0.1355	0.4185	0.4369	1001.9s
43	0.1301	0.4005	0.4207	1163.5s
44	0.1286	0.4032	0.4185	1536.6s
45	0.1299	0.3969	0.4102	979.7s
46	0.1256	0.4066	0.4059	987.6s
47	0.1199	0.3968	0.4021	1086.2s
48	0.1129	0.4005	0.3883	980.7s
49	0.0999	0.3801	0.3824	1069.3s
50	0.0885	0.3799	0.3806	988.4s

Total Training Time: 54348.7 seconds

Test Results:
CER: 0.4305
